Reported_Date,<10,10-19,20-29,30-39,40-49,50-59,60-69,70+
2020-01-26,0,0,0,0,1,0,0,0
2020-01-27,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,1,0,0
2020-02-03,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0
2020-02-05,0,0,1,1,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,1,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,1,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,1,0,0,0
2020-02-23,0,0,0,0,0,0,1,0
2020-02-24,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,1,0
2020-02-28,0,0,0,1,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,1,0,0
2020-03-03,0,0,0,0,0,1,1,0
2020-03-04,0,0,1,1,0,4,1,0
2020-03-05,0,0,0,0,0,1,0,0
2020-03-06,0,0,0,0,0,1,3,0
2020-03-07,0,0,0,0,0,1,0,0
2020-03-08,0,1,0,0,1,1,0,0
2020-03-09,0,0,1,2,0,0,1,0
2020-03-10,0,0,0,0,2,2,1,0
2020-03-11,0,0,0,1,4,2,4,0
2020-03-12,0,1,1,2,1,4,3,0
2020-03-13,0,0,2,4,3,4,5,0
2020-03-14,0,0,1,2,2,5,0,0
2020-03-15,0,0,1,4,3,7,3,0
2020-03-16,0,0,4,10,7,8,7,0
2020-03-17,0,0,5,3,6,8,3,0
2020-03-18,0,1,6,12,13,5,6,0
2020-03-19,0,1,6,12,7,4,14,0
2020-03-20,0,0,5,17,16,16,9,0
2020-03-21,0,1,4,13,6,10,7,0
2020-03-22,0,0,3,12,6,12,7,0
2020-03-23,0,0,7,7,11,11,8,0
2020-03-24,0,0,10,11,6,10,8,0
2020-03-25,0,1,4,15,16,17,10,0
2020-03-26,0,0,4,16,12,10,7,0
2020-03-27,0,0,6,12,5,17,14,0
2020-03-28,0,2,5,7,6,8,3,0
2020-03-29,0,2,4,9,3,13,14,0
2020-03-30,0,0,3,11,7,8,9,0
2020-03-31,0,0,1,7,14,10,9,0
2020-04-01,0,0,3,11,11,17,7,0
2020-04-02,0,0,3,9,7,11,8,0
2020-04-03,0,0,3,2,3,3,6,0
2020-04-04,0,0,3,1,2,10,5,0
2020-04-05,0,0,1,1,2,3,4,0
2020-04-06,0,0,1,3,9,4,5,0
2020-04-07,0,0,3,5,8,9,8,0
2020-04-08,0,0,2,7,4,2,5,0
2020-04-09,0,0,3,4,8,5,2,0
2020-04-10,0,1,0,12,5,17,7,0
2020-04-11,0,0,0,3,2,4,8,0
2020-04-12,0,1,1,2,2,4,4,0
2020-04-13,0,1,2,3,7,4,3,0
2020-04-14,0,0,5,4,1,1,2,0
2020-04-15,0,0,1,1,3,7,0,0
2020-04-16,0,0,9,6,6,4,2,0
2020-04-17,0,0,0,0,0,1,0,0
